id,visit_status,visit_order,beginning,end,employee_id,postal_code
193402,intervention,,2021-05-10 06:00:00+00:00,2021-05-10 08:00:00+00:00,77,75017
193371,intervention,,2021-05-10 06:00:00+00:00,2021-05-10 08:00:00+00:00,77,75017
193304,intervention,,2021-05-10 08:00:00+00:00,2021-05-10 10:00:00+00:00,77,75016
198088,intervention,,2021-05-10 08:00:00+00:00,2021-05-10 10:00:00+00:00,96,31320
198273,tbc,,2021-05-10 05:00:00+00:00,2021-05-10 07:00:00+00:00,122,75009
198065,intervention,,2021-05-10 07:00:00+00:00,2021-05-10 09:00:00+00:00,122,75009
193290,intervention,,2021-05-10 07:00:00+00:00,2021-05-10 09:00:00+00:00,139,33650
189738,intervention,,2021-05-10 07:00:00+00:00,2021-05-10 09:00:00+00:00,140,34660
193326,intervention,,2021-05-10 05:00:00+00:00,2021-05-10 07:00:00+00:00,143,75018
191381,intervention,,2021-05-10 07:00:00+00:00,2021-05-10 09:00:00+00:00,143,75020
193346,intervention,,2021-05-10 07:00:00+00:00,2021-05-10 09:00:00+00:00,143,75018
194496,intervention,,2021-05-10 06:00:00+00:00,2021-05-10 08:00:00+00:00,145,75015
192630,intervention,,2021-05-10 12:00:00+00:00,2021-05-10 14:00:00+00:00,145,75013
197696,intervention,,2021-05-10 06:00:00+00:00,2021-05-10 08:00:00+00:00,146,75012
193311,intervention,,2021-05-10 09:00:00+00:00,2021-05-10 11:00:00+00:00,215,68128
